date,open,high,close,low,volume,amount
2008-02-18,4.51,5.2,5.2,4.51,19056295.0,674808578.0
2008-02-19,4.94,5.01,4.83,4.68,12409777.0,449849136.0
2008-02-20,4.77,5.06,4.93,4.74,8021810.0,295946888.0
2008-02-21,4.86,4.93,4.85,4.69,4084056.0,147864592.0
2008-02-22,4.86,5.17,4.99,4.81,6377877.0,239057731.0
2008-02-25,5.08,5.43,5.32,5.0,6519101.0,254769442.0
2008-02-26,5.33,5.33,4.85,4.79,5322744.0,199581673.0
2008-02-27,4.93,5.07,5.06,4.88,3399780.0,126899413.0
2008-02-28,5.0,5.02,4.9,4.8,2283617.0,83801694.0
2008-02-29,4.89,4.92,4.9,4.73,2673082.0,96259940.0
2008-03-03,4.8,5.05,4.95,4.73,2006217.0,74323719.0
2008-03-04,4.98,5.2,5.06,4.93,3114649.0,118582496.0
2008-03-05,5.1,5.17,4.85,4.74,2316056.0,85467413.0
2008-03-06,4.89,4.89,4.65,4.61,2098550.0,74026501.0
2008-03-07,4.63,4.72,4.63,4.59,998915.0,34893402.0
2008-03-10,4.59,4.59,4.17,4.17,1965251.0,63299518.0
2008-03-11,4.11,4.13,4.11,3.85,1400320.0,42127737.0
2008-03-12,4.18,4.2,3.84,3.79,1200935.0,35951223.0
2008-03-13,3.8,4.03,3.94,3.74,1268947.0,37234146.0
2008-03-14,3.9,3.97,3.86,3.81,581793.0,17000126.0
2008-03-17,3.86,3.91,3.49,3.47,1136569.0,30669998.0
2008-03-18,3.44,3.57,3.51,3.2,1860412.0,47045934.0
2008-03-20,3.62,3.86,3.86,3.51,2285519.0,62696552.0
2008-03-21,3.89,4.16,3.92,3.86,2818748.0,84535123.0
2008-03-24,3.92,4.16,4.13,3.75,2258290.0,67826503.0
2008-03-25,4.0,4.2,4.03,3.91,1681563.0,51615704.0
2008-03-26,4.04,4.1,3.87,3.85,885560.0,26304723.0
2008-03-27,3.8,3.98,3.75,3.75,794384.0,22941921.0
2008-03-28,3.71,3.87,3.84,3.51,1111268.0,30786576.0
2008-03-31,3.72,3.79,3.52,3.51,660481.0,17840187.0
2008-04-01,3.45,3.52,3.17,3.17,939811.0,23197676.0
2008-04-02,3.18,3.3,3.15,3.03,1035071.0,24310899.0
2008-04-03,3.13,3.28,3.27,3.07,506340.0,12212273.0
2008-04-07,3.25,3.45,3.45,3.13,838986.0,21174607.0
2008-04-08,3.41,3.52,3.51,3.39,785440.0,20463658.0
2008-04-09,3.51,3.56,3.27,3.27,793195.0,20429224.0
2008-04-10,3.17,3.32,3.3,3.13,508355.0,12319963.0
2008-04-11,3.29,3.44,3.37,3.27,629934.0,15893875.0
2008-04-14,3.27,3.38,3.21,3.21,712172.0,17461400.0
2008-04-15,3.16,3.32,3.31,3.16,410261.0,9983138.0
2008-04-16,3.32,3.46,3.3,3.28,408973.0,10350192.0
2008-04-17,3.33,3.35,3.18,3.17,377223.0,9175381.0
2008-04-18,3.15,3.2,2.96,2.94,640399.0,14594197.0
2008-04-21,3.2,3.25,3.0,2.93,590752.0,13738825.0
2008-04-22,2.97,3.06,3.03,2.91,724968.0,16111271.0
2008-04-23,3.02,3.28,3.21,2.93,736436.0,17340508.0
2008-04-24,3.53,3.53,3.5,3.36,1077377.0,27956147.0
2008-04-25,3.48,3.72,3.53,3.4,1311538.0,34795500.0
2008-04-28,3.47,3.59,3.45,3.44,760450.0,20045402.0
2008-04-29,3.45,3.53,3.41,3.4,500450.0,13028855.0
2008-05-05,3.59,3.75,3.75,3.57,1760855.0,48591374.0
2008-05-06,3.74,3.79,3.64,3.64,922005.0,25527105.0
2008-05-07,3.59,3.67,3.44,3.44,714837.0,19021874.0
2008-05-08,3.43,3.53,3.53,3.33,893770.0,22876751.0
2008-05-09,3.53,3.65,3.56,3.44,984891.0,26211874.0
2008-05-12,3.47,3.79,3.63,3.41,1261064.0,34260142.0
2008-05-13,3.53,3.88,3.85,3.51,2243361.0,62842275.0
2008-05-14,3.8,3.92,3.77,3.71,1494070.0,42565359.0
2008-05-15,3.77,3.89,3.74,3.74,969885.0,27695988.0
2008-05-16,3.72,3.76,3.55,3.49,845996.0,23188573.0
2008-05-19,3.49,3.53,3.38,3.33,3377517.0,87396015.0
2008-05-20,3.39,3.51,3.3,3.3,1695293.0,43488350.0
2008-05-21,3.3,3.44,3.44,3.24,1560828.0,39232023.0
2008-05-22,3.41,3.47,3.47,3.33,1061742.0,27111045.0
2008-05-23,3.41,3.49,3.33,3.29,926598.0,23369480.0
2008-05-26,3.33,3.34,3.33,3.2,825721.0,20135036.0
2008-05-27,3.29,3.43,3.33,3.29,843898.0,21261991.0
2008-05-28,3.33,3.46,3.45,3.23,963995.0,24413341.0
2008-05-29,3.48,3.48,3.37,3.36,819784.0,21046007.0
2008-05-30,3.38,3.5,3.45,3.38,899370.0,23260922.0
2008-06-02,3.44,3.48,3.44,3.4,525023.0,13562957.0
2008-06-03,3.43,3.47,3.29,3.28,652870.0,16329591.0
2008-06-04,3.25,3.29,3.13,3.12,818392.0,19451540.0
2008-06-05,3.13,3.21,3.19,3.1,294597.0,7001293.0
